"USERID"|"GENDER"|"DOB"|"COUNTRY"|"EDUCATION"|"HOBBY"
36420|"N"|1965-01-03|"Moldova"|" "|"Geocaching"
14880|"F"|1998-01-27|"Andorra"|"Bachelor"|"Cheerleading"
10970|"F"|1983-01-14|"Moldova"|"Bachelor"|"Hamsters"
21310|"M"|1969-11-15|"Faroe Islands"|"Bachelor"|"Other"
10980|"F"|1993-12-26|"France"|"Bachelor"|"Meteorology"
23150|"F"|1997-10-21|"Macedonia"|"High school"|"Flying"
26490|"F"|1988-11-03|"Martinique"|"Less than high school"|"Climbing"
47620|"M"|1999-07-09|"Liberia"|" "|"Sculpting"
16850|"F"|1970-06-24|"Puerto Rico"|"High school"|"Sculpting"
13560|"F"|1966-01-26|"Malta"|"Master"|"Kayaking"
13270|"M"|1992-09-27|"Reunion"|"High school"|"Painting"
25770|"F"|1992-03-03|"Macedonia"|" "|"Hamsters"
25990|"N"|1997-03-05|"Morocco"|"Master"|"Hunting"
27550|"N"|1983-02-17|"Antarctica"|"High school"|"Origami"
19310|"M"|1988-06-04|"Guernsey"|"High school"|"Running"
39650|"M"|1987-10-12|"Gibraltar"|"Less than high school"|"Pottery"
10990|"F"|1977-01-01|"Martinique"|"Bachelor"|" "
18430|"F"|2000-04-27|"Mexico"|" "|" "
43990|"M"|1993-05-22|"Romania"|"Master"|"Paintball"
20690|"M"|1997-10-24|"Cyprus"|"High school"|"Origami"
27890|"F"|1969-06-27|"Faroe Islands"|"Master"|"Kayaking"
31510|"M"|1973-09-13|"Reunion"|" "|"Saxophone"
14970|"F"|1969-12-09|"Italy"|" "|"Meteorology"
38020|"F"|1973-08-14|"Malta"|"Bachelor"|"Beekeeping"
26190|"F"|1997-08-31|"Mozambique"|"Master"|"Painting"
17110|"F"|1978-12-29|"Sweden"|"Bachelor"|"Climbing"
20530|"M"|1998-10-08|"Uganda"|"Less than high school"|"Embroidery"
28260|"M"|1972-08-26|"Faroe Islands"|"Bachelor"|"Sculpting"
33220|"F"|2001-06-24|"Antarctica"|"Less than high school"|"Origami"
48850|"M"|1989-09-19|"Romania"|"Less than high school"|"Laser tag"
42920|"F"|1985-04-20|"Macedonia"|"Less than high school"|"Geocaching"
18480|"M"|1976-07-08|"United Arab Emirates"|" "|"Horseback riding"
13200|"F"|1994-08-16|"China"|"Bachelor"|"Puzzles"
29060|"M"|1983-09-17|"Macedonia"|" "|"Meteorology"
28250|"M"|1990-11-30|"Uruguay"|"High school"|"Paintball"
43690|"M"|1971-12-17|"Moldova"|" "|"Embroidery"
28090|"M"|1984-06-18|"Mexico"|"Less than high school"|"Embroidery"
20200|"N"|1983-02-20|"France"|"Master"|"Paintball"
38140|"F"|1970-08-05|"Madagascar"|"Less than high school"|"Running"
45820|"F"|1970-06-23|"Germany"|"Less than high school"|"Origami"
36600|"M"|1999-09-25|"Martinique"|"High school"|"Sculpting"
21200|"M"|1980-01-03|"Romania"|"Master"|"Saxophone"
24010|"M"|1981-07-10|"Ethiopia"|" "|"Other"
12990|"M"|2001-07-20|"Martinique"|"Master"|"Kayaking"
22600|"F"|1987-05-14|"Macedonia"|"Bachelor"|"Sculpting"
32340|"F"|1995-07-10|"Ethiopia"|"High school"|"Puzzles"
14940|"F"|1968-02-24|"Sweden"|"Bachelor"|"Other"
26280|"N"|1982-11-01|"Cyprus"|" "|"Macrame"
42790|"F"|1974-12-06|"Barbados"|"Master"|"Embroidery"
16040|"F"|1968-02-02|"Guinea"|" "|"Geocaching"
16820|"F"|1983-07-27|"Puerto Rico"|"High school"|"Cheerleading"
13060|"F"|1967-08-15|"Guernsey"|" "|"Embroidery"
41930|"M"|1982-08-10|"Venezuela"|"Master"|"Embroidery"
14730|"F"|2001-05-26|"Reunion"|"Less than high school"|"Origami"
12070|"M"|1973-05-02|"Macedonia"|"High school"|"Saxophone"
11910|"N"|1981-01-15|"Mozambique"|"Master"|"Gaming"
28600|"F"|2000-07-15|"Gibraltar"|"Less than high school"|"Sculpting"
10680|"N"|1969-10-25|"France"|"Less than high school"|"Painting"
29020|"F"|2000-05-15|"Mexico"|"Bachelor"|"Pottery"
35790|"F"|1997-02-06|"Moldova"|"High school"|"Saxophone"
46390|"M"|1967-10-03|"Barbados"|"Bachelor"|"Painting"
42150|"N"|1974-09-24|"Macedonia"|" "|"Climbing"
48390|"M"|1975-03-17|"Guinea"|"High school"|"Hamsters"
22800|"F"|1979-07-13|"Macedonia"|"High school"|"Other"
49550|"M"|1994-05-10|"Bahamas"|"Master"|"Ultra running"
18500|"M"|1987-10-06|"Uruguay"|"Less than high school"|"Running"
24200|"F"|1992-08-19|"Uruguay"|"Master"|"Hunting"
13570|"M"|1996-11-23|"Italy"|"Less than high school"|"Sculpting"
22180|"F"|1991-01-27|"Algeria"|"High school"|"Ultra running"
45950|"F"|1978-08-13|"France"|"High school"|"Ultra running"
46490|"F"|1981-02-22|"Hungary"|"Bachelor"|"Climbing"
31670|"M"|1968-06-08|"United Kingdom"|" "|"Hunting"
47460|"M"|1988-12-04|"Macedonia"|"Master"|"Origami"
43800|"F"|1971-02-20|"Guernsey"|"Less than high school"|"Hunting"
26860|"F"|1973-08-18|"Japan"|" "|"Macrame"
46950|"F"|1980-04-08|"Guinea"|" "|" "
30620|"F"|1969-03-05|"Liberia"|"Less than high school"|"Meteorology"
13660|"F"|1972-02-23|"Ethiopia"|"Master"|"Laser tag"
15150|"N"|1983-12-02|"Hungary"|"High school"|"Hamsters"
14720|"N"|1968-07-03|"Reunion"|"Bachelor"|"Flying"
39970|"M"|1972-07-12|"Chile"|" "|"Painting"
43080|"F"|1982-12-02|"Romania"|" "|"Laser tag"
41130|"M"|1994-10-29|"Malta"|" "|"Beekeeping"
10600|"F"|1985-07-22|"Guernsey"|" "|"Kayaking"
42550|"N"|1990-01-24|"Senegal"|"Less than high school"|"Origami"
15500|"M"|1971-01-25|"Algeria"|"Master"|" "
26100|"F"|1967-02-28|"Martinique"|"Master"|"Horseback riding"
44920|"F"|1972-11-25|"Algeria"|"Less than high school"|" "
38610|"N"|1979-07-22|"Thailand"|"Master"|"Painting"
30730|"M"|1969-12-31|"Ethiopia"|"High school"|"Sculpting"
11810|"M"|1976-04-12|"Antarctica"|"Less than high school"|"Paintball"
16970|"M"|1979-04-17|"Puerto Rico"|"Less than high school"|"Sculpting"
31010|"M"|1973-07-08|"Puerto Rico"|"Less than high school"|"Paintball"
48310|"M"|1990-08-23|"Cyprus"|"High school"|"Geocaching"
24670|"F"|1976-12-12|"Puerto Rico"|"Bachelor"|"Puzzles"
34610|"F"|1972-03-18|"Faroe Islands"|"Master"|"Painting"
11120|"F"|1988-02-14|"Greenland"|"Less than high school"|"Kayaking"
20010|"F"|1992-10-21|"Faroe Islands"|"Master"|"Saxophone"
27320|"N"|1977-10-02|"China"|" "|"Beekeeping"
30360|"N"|1995-08-11|"Sweden"|"Bachelor"|"Gaming"
31700|"M"|1992-09-06|"Hungary"|" "|"Laser tag"
21380|"F"|1978-04-06|"Mozambique"|" "|"Laser tag"
37610|"F"|1994-09-26|"Sweden"|"Less than high school"|"Ultra running"
26390|"F"|1983-11-23|"Guinea"|"Bachelor"|"Cheerleading"
27840|"F"|1965-01-20|"Gibraltar"|"Master"|"Geocaching"
13830|"N"|1987-08-29|"Moldova"|"Less than high school"|"Cheerleading"
18040|"F"|1994-01-12|"Hungary"|"High school"|"Climbing"
32730|"F"|1970-11-09|"Guinea"|"Master"|"Cheerleading"
12900|"F"|1990-06-27|"Uruguay"|"Master"|"Horseback riding"
41810|"F"|1975-02-21|"Uruguay"|"High school"|"Laser tag"
21960|"F"|1966-09-12|"Italy"|"Less than high school"|"Running"
30610|"F"|1995-12-04|"Gibraltar"|"Less than high school"|"Climbing"
45860|"F"|1998-09-10|"Thailand"|"Master"|"Other"
29310|"M"|1984-08-20|"France"|"Bachelor"|"Other"
14600|"M"|1975-04-21|"France"|"Less than high school"|"Cheerleading"
39130|"M"|1983-04-12|"United Arab Emirates"|"Less than high school"|"Pottery"
45940|"M"|1999-08-23|"Guinea"|"High school"|"Embroidery"
23050|"M"|1994-10-30|"Rwanda"|"High school"|" "
29710|"F"|1995-09-30|"Puerto Rico"|"Bachelor"|"Macrame"
35040|"M"|1968-07-25|"Senegal"|" "|"Laser tag"
36980|"M"|1968-11-22|"Liberia"|"Master"|"Pottery"
33470|"N"|1985-10-04|"Macedonia"|"Master"|"Hunting"
18630|"M"|1981-10-29|"Belgium"|"Bachelor"|"Ultra running"
39400|"F"|1978-08-15|"Madagascar"|"High school"|"Hamsters"
19990|"M"|1974-09-25|"United Kingdom"|"Master"|"Ultra running"
21300|"M"|2000-03-01|"Moldova"|"Master"|"Pottery"
20190|"M"|1990-11-03|"Barbados"|"Bachelor"|" "
14440|"F"|1980-06-24|"Belgium"|"Bachelor"|"Saxophone"
22580|"F"|1996-11-21|"Guernsey"|" "|"Geocaching"
43420|"F"|1985-04-08|"Algeria"|"Master"|" "
36180|"F"|1974-11-03|"Mozambique"|"High school"|"Macrame"
47230|"F"|1984-12-26|"Andorra"|"High school"|"Hunting"
11630|"F"|1976-09-13|"Macedonia"|" "|"Horseback riding"
21090|"M"|1992-12-06|"Ethiopia"|" "|"Hunting"
28800|"M"|1973-09-14|"Antarctica"|" "|"Meteorology"
28930|"M"|2000-03-22|"Madagascar"|"High school"|"Hunting"
11080|"M"|1972-10-11|"Martinique"|"Master"|"Painting"
34390|"F"|1998-08-02|"Mexico"|" "|"Embroidery"
27480|"M"|1996-01-05|"Thailand"|" "|"Hunting"
24160|"M"|1991-12-10|"Italy"|" "|"Flying"
29690|"F"|1985-04-08|"United Arab Emirates"|"Less than high school"|"Painting"
31950|"F"|1998-04-19|"France"|"Bachelor"|"Gaming"
25720|"F"|1974-10-03|"Malta"|"High school"|"Macrame"
27110|"F"|1979-09-23|"Venezuela"|"Master"|"Beekeeping"
17700|"M"|1979-01-14|"Japan"|"Less than high school"|"Hamsters"
11380|"F"|1997-01-16|"Gibraltar"|"Bachelor"|"Origami"
16360|"M"|1976-07-18|"Greenland"|"Master"|"Climbing"
15700|"M"|1990-06-06|"Ethiopia"|"Bachelor"|"Ultra running"
42340|"M"|1989-07-24|"Gibraltar"|"Less than high school"|"Horseback riding"
22480|"F"|1975-11-29|"Martinique"|"Less than high school"|"Gaming"
19970|"F"|1989-11-02|"Reunion"|" "|"Other"
25170|"M"|1984-10-17|"South Africa"|"High school"|"Other"
15170|"M"|1982-02-05|"Uganda"|"Bachelor"|"Laser tag"
42370|"F"|1997-07-31|"Romania"|"Bachelor"|"Geocaching"
13080|"F"|1980-05-20|"Martinique"|" "|"Ultra running"
42980|"F"|1991-09-03|"United Arab Emirates"|"Bachelor"|"Other"
35430|"F"|2000-11-21|"United Arab Emirates"|"Bachelor"|"Gaming"
36210|"F"|1987-03-18|"Antarctica"|"Master"|"Meteorology"
15010|"M"|1980-06-05|"Jordan"|"High school"|"Horseback riding"
34230|"F"|1970-03-11|"Martinique"|"Master"|"Cheerleading"
49080|"M"|1971-04-14|"Gibraltar"|"Bachelor"|"Geocaching"
34560|"M"|1980-05-04|"Morocco"|" "|"Cheerleading"
15410|"M"|1990-12-10|"Japan"|"Master"|" "
40530|"F"|1972-08-04|"South Africa"|"Less than high school"|"Meteorology"
20020|"M"|2001-10-06|"South Africa"|" "|"Macrame"
42840|"F"|1986-02-14|"France"|" "|"Running"
10120|"F"|1967-05-12|"Guernsey"|" "|"Hamsters"
32950|"F"|2000-09-18|"Jordan"|"Bachelor"|"Climbing"
49400|"F"|1978-08-17|"Faroe Islands"|" "|"Gaming"
27640|"F"|1968-12-24|"Algeria"|"Less than high school"|"Paintball"
44840|"N"|2001-08-22|"Sweden"|"Master"|"Macrame"
37090|"M"|1979-06-26|"Reunion"|"Less than high school"|"Gaming"
24420|"F"|1971-04-26|"United Arab Emirates"|"Master"|"Climbing"
23180|"M"|1995-04-12|"Malta"|"Bachelor"|"Hamsters"
26930|"M"|1990-12-31|"Reunion"|"Less than high school"|"Embroidery"
37890|"F"|1985-01-16|"United Kingdom"|"High school"|"Paintball"
22360|"F"|1987-08-04|"Japan"|" "|"Hamsters"
12130|"M"|1993-05-13|"Hungary"|"Less than high school"|"Running"
38880|"M"|1985-01-29|"Uruguay"|"High school"|"Hamsters"
43540|"F"|1968-07-07|"Faroe Islands"|" "|"Laser tag"
25330|"F"|1978-12-04|"Germany"|"Bachelor"|"Sculpting"
45590|"M"|1982-09-28|"Martinique"|"High school"|"Hunting"
25700|"F"|1996-08-07|"Croatia"|" "|"Ultra running"
44350|"M"|1983-06-04|"Venezuela"|"Less than high school"|"Paintball"
34160|"M"|1982-08-03|"Croatia"|" "|"Hunting"
11370|"F"|1998-07-02|"Greenland"|"Less than high school"|"Horseback riding"
41500|"M"|1989-10-14|"Algeria"|"High school"|"Climbing"
17190|"M"|1965-02-16|"Guinea"|"Master"|"Kayaking"
26370|"F"|1985-08-18|"Ethiopia"|" "|"Hamsters"
19420|"F"|1972-07-12|"Mozambique"|" "|"Embroidery"
43950|"F"|1968-12-28|"Uganda"|"Bachelor"|"Beekeeping"
15970|"M"|1965-05-24|"United Arab Emirates"|"High school"|"Kayaking"
20760|"F"|1989-03-14|"United Kingdom"|"Master"|"Ultra running"
35240|"F"|1999-05-10|"Antarctica"|"Bachelor"|"Geocaching"
16160|"M"|1965-10-29|"Italy"|"High school"|"Laser tag"
33510|"M"|1990-10-18|"Antarctica"|"Less than high school"|"Saxophone"
15370|"M"|1983-03-07|"Romania"|"Less than high school"|"Embroidery"
29450|"M"|2001-11-13|"Guinea"|"Master"|"Hamsters"
24250|"F"|1988-01-07|"Algeria"|" "|"Painting"
46890|"F"|1993-12-10|"Reunion"|"High school"|"Kayaking"
10140|"F"|1987-10-11|"United Arab Emirates"|"Less than high school"|"Horseback riding"
40450|"F"|1990-04-28|"Puerto Rico"|"Bachelor"|"Laser tag"
39150|"M"|1992-02-12|"Italy"|"High school"|"Beekeeping"
14160|"M"|1983-12-14|"Macedonia"|"Master"|"Paintball"
32810|"M"|1984-06-02|"Martinique"|"Less than high school"|"Horseback riding"
39930|"F"|1973-06-09|"Guernsey"|"Master"|"Ultra running"
36610|"F"|2000-07-16|"Algeria"|" "|"Sculpting"
13850|"F"|1981-01-13|"Sweden"|"Less than high school"|"Flying"
24310|"F"|1988-11-03|"Sweden"|" "|"Climbing"
13860|"F"|1991-10-02|"Belgium"|"High school"|"Pottery"
12060|"M"|1985-09-03|"Romania"|"Bachelor"|"Running"
44810|"F"|1985-07-18|"Japan"|"High school"|"Flying"
17240|"F"|1969-05-26|"Uganda"|"Master"|"Climbing"
44480|"N"|1978-05-01|"Martinique"|"Less than high school"|"Origami"
25490|"M"|1974-04-29|"United Kingdom"|" "|"Horseback riding"
33280|"M"|1987-09-16|"Faroe Islands"|"Less than high school"|"Hunting"
31750|"M"|1988-06-15|"Morocco"|"Less than high school"|"Running"
16170|"M"|1972-09-14|"Ethiopia"|"Less than high school"|"Ultra running"
48950|"M"|1989-03-10|"Cyprus"|"Less than high school"|"Origami"
10360|"F"|1985-12-19|"Gibraltar"|"Master"|"Kayaking"
22170|"N"|1976-04-14|"Madagascar"|"High school"|"Ultra running"
21830|"M"|1966-11-16|"Barbados"|" "|" "
49330|"M"|1985-07-28|"Belgium"|"Bachelor"|"Painting"
36780|"F"|1997-12-21|"Guinea"|"Master"|"Climbing"
44040|"M"|1997-08-24|"Romania"|"Master"|"Macrame"
21500|"F"|1997-06-16|"Moldova"|"High school"|"Laser tag"
40590|"F"|1992-01-16|"Mozambique"|"Bachelor"|"Sculpting"
10940|"M"|1981-08-04|"South Africa"|"Master"|"Running"
43640|"F"|1977-07-17|"Madagascar"|"Less than high school"|"Flying"
22200|"F"|1984-06-07|"Macedonia"|"Less than high school"|"Macrame"
46990|"F"|1973-10-07|"Hungary"|"Less than high school"|"Other"
24910|"F"|1999-07-07|"United Kingdom"|" "|"Meteorology"
18940|"F"|1981-05-04|"Mozambique"|"Less than high school"|"Other"
46380|"M"|1990-07-07|"Croatia"|"High school"|"Ultra running"
15240|"F"|1971-03-08|"Germany"|"Bachelor"|"Pottery"
42430|"F"|1965-04-10|"Uruguay"|" "|"Painting"
34700|"F"|1972-04-01|"Italy"|"Less than high school"|"Flying"
13070|"M"|1974-10-10|"Gibraltar"|"Less than high school"|"Laser tag"
44620|"M"|1992-07-16|"Madagascar"|"Bachelor"|"Other"
42220|"M"|1996-07-21|"Rwanda"|"Less than high school"|"Origami"
44970|"F"|1985-02-04|"Puerto Rico"|"Less than high school"|"Other"
40060|"M"|1981-06-28|"Mexico"|" "|"Horseback riding"
22410|"F"|1971-12-27|"South Africa"|"Bachelor"|"Origami"
26130|"F"|1969-08-29|"United Arab Emirates"|"Bachelor"|"Hunting"
16560|"F"|1985-04-12|"Macedonia"|"High school"|"Ultra running"
12570|"F"|2000-01-05|"Guinea"|"Bachelor"|"Embroidery"
24700|"M"|1999-06-16|"Senegal"|"Less than high school"|"Climbing"
11970|"F"|1975-11-18|"Mozambique"|"High school"|"Painting"
43240|"F"|1997-11-14|"Rwanda"|"Less than high school"|"Saxophone"
24190|"M"|1975-03-23|"Japan"|" "|"Geocaching"
25460|"M"|2000-12-13|"South Africa"|"Bachelor"|"Meteorology"
26710|"F"|1978-07-26|"China"|" "|"Laser tag"
37720|"F"|1982-05-23|"Venezuela"|" "|"Hunting"
40340|"F"|1986-04-24|"Martinique"|"Master"|"Hamsters"
22890|"F"|1985-10-29|"Rwanda"|"Master"|"Climbing"
17040|"F"|1977-05-10|"South Africa"|"Master"|"Pottery"
23290|"N"|1989-02-07|"Venezuela"|"High school"|"Geocaching"
17500|"F"|1995-04-05|"Andorra"|"High school"|"Macrame"
28370|"F"|1980-05-10|"Uganda"|"Master"|"Saxophone"
47590|"F"|1978-03-08|"Italy"|"Master"|"Macrame"
25670|"N"|1971-02-28|"Hungary"|" "|"Paintball"
46220|"N"|1971-11-04|"United Kingdom"|" "|"Beekeeping"
46700|"M"|2000-07-17|"Andorra"|"Less than high school"|"Embroidery"
18970|"F"|1990-02-25|"United Kingdom"|"High school"|"Flying"
12150|"N"|1997-05-29|"Romania"|"High school"|"Hamsters"
45060|"F"|1979-08-19|"Guernsey"|"Less than high school"|"Painting"
43460|"M"|1996-03-19|"Algeria"|"Less than high school"|"Origami"
14270|"F"|1995-06-04|"Morocco"|"Master"|"Hamsters"
49430|"F"|1987-11-06|"Bahamas"|"High school"|"Beekeeping"
19270|"N"|1983-04-11|"Belgium"|"Bachelor"|"Flying"
36950|"F"|2000-11-17|"Greenland"|"Master"|"Sculpting"
26700|"F"|1969-08-23|"Cyprus"|" "|"Kayaking"
19600|"F"|1995-03-28|"United Arab Emirates"|" "|"Laser tag"
13940|"F"|1982-04-16|"Morocco"|"Less than high school"|"Horseback riding"
20030|"M"|1997-04-28|"Guernsey"|"Master"|"Meteorology"
29860|"F"|1996-06-11|"Andorra"|"Master"|"Climbing"
30230|"F"|1999-11-06|"Cyprus"|" "|"Puzzles"
18720|"N"|1983-03-08|"Bahamas"|"Master"|"Sculpting"
39960|"M"|1993-02-03|"Bahamas"|"Less than high school"|"Sculpting"
14960|"M"|1996-06-25|"Liberia"|"High school"|"Other"
44880|"F"|1970-11-15|"Sweden"|" "|"Running"
16460|"F"|1991-12-28|"Mexico"|"High school"|"Cheerleading"
44170|"F"|1972-03-10|"South Africa"|"Less than high school"|"Pottery"
18130|"M"|1988-07-10|"Gibraltar"|"Less than high school"|"Saxophone"
42460|"M"|1981-05-24|"Liberia"|"High school"|"Other"
47850|"N"|1975-02-10|"Morocco"|"Less than high school"|"Puzzles"
39920|"F"|1979-06-10|"Reunion"|"High school"|"Origami"
15740|"M"|1997-08-24|"Barbados"|"Bachelor"|"Laser tag"
26290|"F"|1980-07-19|"France"|"Bachelor"|"Hamsters"
14010|"F"|1976-10-23|"Germany"|"Less than high school"|"Laser tag"
35580|"M"|2001-12-02|"Croatia"|" "|"Other"
21320|"F"|1981-02-25|"Macedonia"|"Bachelor"|"Embroidery"
15720|"F"|1986-04-30|"United Arab Emirates"|" "|"Running"
23530|"F"|1968-01-13|"Italy"|" "|"Ultra running"
33360|"F"|1983-12-21|"Rwanda"|"High school"|"Hunting"
49100|"F"|1966-08-06|"Cyprus"|"Bachelor"|"Gaming"
46850|"M"|1994-03-17|"Martinique"|"High school"|"Painting"
37120|"F"|1991-11-04|"Barbados"|"Bachelor"|"Meteorology"
46460|"F"|1972-06-06|"United Kingdom"|"Master"|"Laser tag"
16790|"M"|1978-01-20|"Morocco"|"High school"|"Puzzles"
38970|"F"|1985-08-16|"Martinique"|" "|" "
48980|"F"|1977-10-08|"Liberia"|"High school"|"Gaming"
29070|"F"|1985-12-08|"Thailand"|" "|"Embroidery"
37470|"F"|1980-02-29|"Japan"|"Bachelor"|"Gaming"
17570|"M"|1975-08-30|"Greenland"|"Bachelor"|"Gaming"
16390|"M"|1982-01-18|"China"|"Less than high school"|"Saxophone"
34070|"F"|1983-01-13|"Antarctica"|"High school"|"Hamsters"
46910|"F"|1968-11-11|"Jordan"|"Less than high school"|"Embroidery"
27870|"F"|1992-06-14|"Jordan"|" "|"Flying"
38860|"M"|1988-09-01|"Italy"|"Less than high school"|"Puzzles"
48030|"M"|1988-08-06|"Guinea"|" "|"Hunting"
48220|"N"|1965-08-07|"Guinea"|" "|"Puzzles"
32350|"F"|1967-09-11|"United Arab Emirates"|"Master"|"Kayaking"
35500|"N"|1978-08-02|"South Korea"|"Master"|"Running"
30300|"M"|1992-09-01|"Uganda"|"Less than high school"|"Gaming"
11410|"F"|1993-10-08|"Croatia"|"High school"|"Hamsters"
12080|"M"|1965-10-15|"Hungary"|"Less than high school"|"Embroidery"
28650|"F"|1976-05-15|"Morocco"|"High school"|"Sculpting"
32870|"M"|1994-03-29|"Mexico"|"Master"|"Hamsters"
12110|"N"|1980-03-21|"Hungary"|"Bachelor"|"Hamsters"
17670|"M"|1991-08-17|"Faroe Islands"|" "|"Climbing"
23260|"M"|1993-02-12|"Germany"|"High school"|"Horseback riding"
28580|"N"|1984-10-24|"Faroe Islands"|"Bachelor"|"Saxophone"
37900|"M"|1974-10-06|"Rwanda"|"Less than high school"|"Saxophone"
14790|"F"|1973-11-21|"Bahamas"|"High school"|"Gaming"
49420|"M"|1985-07-21|"United Kingdom"|"Bachelor"|"Pottery"
19550|"F"|1994-05-29|"Uruguay"|"Less than high school"|"Horseback riding"
12170|"F"|1992-11-14|"Liberia"|" "|"Origami"
32960|"F"|1969-08-30|"Senegal"|"Less than high school"|"Origami"
23820|"N"|1992-09-11|"Antarctica"|"High school"|"Gaming"
34310|"F"|1999-11-04|"Faroe Islands"|" "|"Meteorology"
25360|"N"|1974-01-23|"Macedonia"|"Bachelor"|"Laser tag"
27080|"M"|1974-02-03|"Guernsey"|"Master"|"Saxophone"
42800|"M"|1967-12-12|"Martinique"|"Master"|"Origami"
42810|"N"|1973-01-26|"Croatia"|"Bachelor"|"Embroidery"
16600|"F"|1977-12-27|"Senegal"|"High school"|"Pottery"
46310|"N"|1986-09-08|"Venezuela"|"Master"|"Hamsters"
43600|"M"|1980-06-15|"Guernsey"|"Master"|"Meteorology"
22850|"F"|1991-01-14|"Macedonia"|"Master"|"Painting"
46590|"M"|1984-09-18|"Ethiopia"|"Master"|"Horseback riding"
37870|"F"|1983-10-15|"Antarctica"|" "|"Climbing"
30500|"M"|1983-08-19|"Macedonia"|"Master"|"Kayaking"
42630|"M"|1969-07-07|"Martinique"|"Less than high school"|"Sculpting"
27530|"F"|1969-06-10|"Jordan"|"Master"|"Hamsters"
36350|"M"|1978-04-30|"Mozambique"|"High school"|"Embroidery"
21430|"F"|1994-06-21|"Ethiopia"|"Bachelor"|"Origami"
48760|"M"|1998-05-02|"Jordan"|"Master"|"Ultra running"
49260|"F"|1965-05-13|"Liberia"|"High school"|"Hunting"
35450|"M"|1984-11-27|"Mexico"|"Less than high school"|"Hamsters"
